"","V1","V2","V3"
"271",3,76,0.186332723620668
"272",3,77,0.186735417727163
"273",3,78,0.187152650518716
"274",3,79,0.187584438661676
"275",3,80,0.188030799222442
"276",3,81,0.188491750067523
"277",3,82,0.188967309589088
"278",3,83,0.189457496694342
"279",3,84,0.189962331014674
"280",3,85,0.190481832622945
"281",3,86,0.191016022304730
"282",3,87,0.191564921458548
"283",3,88,0.192128552061695
"284",3,89,0.19270693663399
"285",3,90,0.193300098393727
"286",3,91,0.193908061080019
"287",3,92,0.194530849191534
"288",3,93,0.195168487691001
"289",3,94,0.195821002298942
"290",3,95,0.196488419161902
"291",3,96,0.197170765202264
"292",4,1,0.196499670383026
"293",4,2,0.195826642016711
"294",4,3,0.195168487724608
"295",4,4,0.194525181030275
"296",4,5,0.193896696135164
"297",4,6,0.193283007765378
"298",4,7,0.192684091365637
"299",4,8,0.192099922942805
"300",4,9,0.191530479096271
"301",4,10,0.190975737096678
"302",4,11,0.190435674687019
"303",4,12,0.189910270388988
"304",4,13,0.189399503144222
"305",4,14,0.188903352719564
"306",4,15,0.188421799213018
"307",4,16,0.187954823541586
"308",4,17,0.187502407067370
"309",4,18,0.187064531811821
"310",4,19,0.186641180441454
"311",4,20,0.186232335962964
"312",4,21,0.185837982330402
"313",4,22,0.185458103809243
"314",4,23,0.185092685322968
"315",4,24,0.184741712432311
"316",4,25,0.184405171251312
"317",4,26,0.184083048349514
"318",4,27,0.183775331083671
"319",4,28,0.183482007228347
"320",4,29,0.183203065214793
"321",4,30,0.182938494027786
"322",4,31,0.182688283137615
"323",4,32,0.18245242264225
"324",4,33,0.182230903381204
"325",4,34,0.182023716511927
"326",4,35,0.181830853826177
"327",4,36,0.181652307779054
"328",4,37,0.181488071263055
"329",4,38,0.181338137916318
"330",4,39,0.18120250169538
"331",4,40,0.181081157301651
"332",4,41,0.180974099989627
"333",4,42,0.180881325520111
"334",4,43,0.180802830205432
"335",4,44,0.180738610995402
"336",4,45,0.180688665351586
"337",4,46,0.18065299128857
"338",4,47,0.180631587438633
"339",4,48,0.180624452915227
"340",4,49,0.180631587415055
"341",4,50,0.180652991297498
"342",4,51,0.180688665371973
"343",4,52,0.180738610995404
"344",4,53,0.180802830205435
"345",4,54,0.180881325519604
"346",4,55,0.180974099989304
"347",4,56,0.18108115730165
"348",4,57,0.181202501694018
"349",4,58,0.181338137916839
"350",4,59,0.181488071263052
"351",4,60,0.181652307743873
"352",4,61,0.181830853830414
"353",4,62,0.182023716491994
"354",4,63,0.182230903375687
"355",4,64,0.182452422649934
"356",4,65,0.182688283141537
"357",4,66,0.182938493992747
"358",4,67,0.183203065209891
"359",4,68,0.183482007240260
"360",4,69,0.183775331086501
"361",4,70,0.184083048345294
"362",4,71,0.184405171252877
"363",4,72,0.184741712432312
"364",4,73,0.185092685322969
"365",4,74,0.185458103809242
"366",4,75,0.185837982331394
"367",4,76,0.186232335984991
"368",4,77,0.186641180441454
"369",4,78,0.187064531811801
"370",4,79,0.187502407062784
"371",4,80,0.187954823569042
"372",4,81,0.188421799213123
"373",4,82,0.188903352723136
"374",4,83,0.189399503169199
"375",4,84,0.189910270391690
"376",4,85,0.190435674687023
"377",4,86,0.190975737044463
"378",4,87,0.191530479096272
"379",4,88,0.192099922942804
"380",4,89,0.192684091365638
"381",4,90,0.193283007765385
"382",4,91,0.193896696109924
"383",4,92,0.194525181027270
"384",4,93,0.195168487724594
"385",4,94,0.195826642016709
"386",4,95,0.196499670399471
"387",5,1,0.195843561436782
"388",5,2,0.195179795669013
