Date;High;Low;Close
24/06/2010;273.20;268.10;269.00
23/06/2010;274.66;267.90;270.97
22/06/2010;275.97;271.50;273.85
21/06/2010;279.01;268.73;270.17
18/06/2010;275.00;271.42;274.07
17/06/2010;272.90;269.50;271.87
16/06/2010;267.75;260.63;267.25
15/06/2010;259.85;255.50;259.69
14/06/2010;259.15;254.01;254.28
11/06/2010;253.86;247.37;253.51
10/06/2010;250.98;242.20;250.51
09/06/2010;251.90;242.49;243.20
08/06/2010;253.80;245.65;249.33
07/06/2010;259.15;250.55;250.94
04/06/2010;261.90;254.63;255.96
03/06/2010;265.55;260.41;263.12
02/06/2010;264.80;260.33;263.95
01/06/2010;265.94;258.96;260.83
28/05/2010;259.40;253.35;256.88
27/05/2010;253.89;249.11;253.35
26/05/2010;252.13;243.75;244.11
25/05/2010;246.76;237.16;245.22
24/05/2010;250.90;246.26;246.76
21/05/2010;244.50;231.35;242.32
20/05/2010;243.85;236.21;237.76
19/05/2010;252.92;244.85;248.34
18/05/2010;258.55;250.26;252.36
17/05/2010;256.18;247.71;254.22
14/05/2010;256.48;249.50;253.82
13/05/2010;265.00;256.40;258.36
12/05/2010;263.13;258.70;262.09
11/05/2010;259.89;250.50;256.52
10/05/2010;254.65;248.53;253.99
07/05/2010;246.57;225.21;235.86
06/05/2010;258.25;199.25;246.25
05/05/2010;258.14;248.73;255.99
04/05/2010;263.29;256.75;258.68
03/05/2010;267.88;262.88;266.35
30/04/2010;270.57;261.00;261.09
29/04/2010;270.00;262.01;268.64
28/04/2010;264.00;256.41;261.60
27/04/2010;267.84;260.52;262.04
26/04/2010;272.46;268.19;269.50
23/04/2010;272.18;267.00;270.83
22/04/2010;266.75;256.20;266.47
21/04/2010;260.25;255.73;259.22
20/04/2010;249.25;242.96;244.59
19/04/2010;247.89;241.77;247.07
16/04/2010;251.14;244.55;247.40
15/04/2010;249.03;245.51;248.92
14/04/2010;245.81;244.07;245.69
13/04/2010;242.80;241.11;242.43
12/04/2010;243.07;241.81;242.29
09/04/2010;241.89;240.46;241.79
08/04/2010;241.54;238.04;239.95
07/04/2010;241.92;238.66;240.60
06/04/2010;240.24;237.00;239.54
05/04/2010;238.51;234.77;238.49
01/04/2010;238.73;232.75;235.97
31/03/2010;236.61;234.46;235.00
30/03/2010;237.48;234.25;235.85
29/03/2010;233.87;231.62;232.39
26/03/2010;231.95;228.55;230.90
25/03/2010;230.97;226.25;226.65
24/03/2010;230.20;227.51;229.37
23/03/2010;228.78;224.10;228.36
22/03/2010;226.00;220.15;224.75
19/03/2010;225.24;221.23;222.25
18/03/2010;225.00;222.61;224.65
17/03/2010;226.45;223.27;224.12
16/03/2010;224.98;222.51;224.45
15/03/2010;225.50;220.25;223.84
12/03/2010;227.73;225.75;226.60
11/03/2010;225.50;223.32;225.50
10/03/2010;225.48;223.20;224.84
09/03/2010;225.00;217.89;223.02
08/03/2010;220.09;218.25;219.08
